source,target,category
Albert Camus,Literature,Literature
Albert Camus,,Literature
Daniel Bovet,Medicine,Medicine
Daniel Bovet,Europe,Medicine
Tsung-Dao Lee,Physics,Physics
Tsung-Dao Lee,North America,Physics
Pavel A. Cherenkov,Physics,Physics
Pavel A. Cherenkov,Russia,Physics
Boris Pasternak,Literature,Literature
Boris Pasternak,,Literature
George Beadle,Medicine,Medicine
George Beadle,North America,Medicine
Frederick Sanger,Chemistry,Chemistry
Frederick Sanger,Europe,Chemistry
Igor Y. Tamm,Physics,Physics
Igor Y. Tamm,Russia,Physics
Georges Pire,Peace,Peace
Georges Pire,,Peace
Il´ja M. Frank,Physics,Physics
Il´ja M. Frank,Russia,Physics
Edward Tatum,Medicine,Medicine
Edward Tatum,North America,Medicine
Joshua Lederberg,Medicine,Medicine
Joshua Lederberg,North America,Medicine
Emilio Segrè,Physics,Physics
Emilio Segrè,North America,Physics
Salvatore Quasimodo,Literature,Literature
Salvatore Quasimodo,,Literature
Jaroslav Heyrovsky,Chemistry,Chemistry
Jaroslav Heyrovsky,Europe,Chemistry
Philip Noel-Baker,Peace,Peace
Philip Noel-Baker,,Peace
Owen Chamberlain,Physics,Physics
Owen Chamberlain,North America,Physics
Arthur Kornberg,Medicine,Medicine
Arthur Kornberg,North America,Medicine
Severo Ochoa,Medicine,Medicine
Severo Ochoa,North America,Medicine
Donald A. Glaser,Physics,Physics
Donald A. Glaser,North America,Physics
Peter Medawar,Medicine,Medicine
Peter Medawar,Europe,Medicine
Sir Frank Macfarlane Burnet,Medicine,Medicine
Sir Frank Macfarlane Burnet,Australia,Medicine
Willard F. Libby,Chemistry,Chemistry
Willard F. Libby,North America,Chemistry
Albert Luthuli,Peace,Peace
Albert Luthuli,,Peace
Saint-John Perse,Literature,Literature
Saint-John Perse,,Literature
Ivo Andric,Literature,Literature
Ivo Andric,,Literature
Dag Hammarskjöld,Peace,Peace
Dag Hammarskjöld,,Peace
Georg von Békésy,Medicine,Medicine
Georg von Békésy,North America,Medicine
Rudolf Mössbauer,Physics,Physics
Rudolf Mössbauer,Europe,Physics
Robert Hofstadter,Physics,Physics
Robert Hofstadter,North America,Physics
Melvin Calvin,Chemistry,Chemistry
Melvin Calvin,North America,Chemistry
Maurice Wilkins,Medicine,Medicine
Maurice Wilkins,Europe,Medicine
James Watson,Medicine,Medicine
James Watson,North America,Medicine
Linus Pauling,Peace,Peace
Linus Pauling,North America,Peace
John C. Kendrew,Chemistry,Chemistry
John C. Kendrew,Europe,Chemistry
Max F. Perutz,Chemistry,Chemistry
Max F. Perutz,Europe,Chemistry
Francis Crick,Medicine,Medicine
Francis Crick,Europe,Medicine
John Steinbeck,Literature,Literature
John Steinbeck,,Literature
Lev Landau,Physics,Physics
Lev Landau,Russia,Physics
Giulio Natta,Chemistry,Chemistry
Giulio Natta,Europe,Chemistry
Giorgos Seferis,Literature,Literature
Giorgos Seferis,,Literature
Eugene Wigner,Physics,Physics
Eugene Wigner,North America,Physics
Alan Hodgkin,Medicine,Medicine
